job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,days_ago,salary_numeric
data scientist,senior,hybrid,company_521,"San Francisco, CA . Hybrid",4 days ago,"San Francisco, CA, US",Technology,Private,524,Private,"€164,408 - €182,674","['sql', 'machine learning', 'python']",4,173541
data scientist,junior,remote,company_702,"Dallas, TX",14 days ago,"Dallas, TX, US",Healthcare,Unknown,"2,840",Nonprofit,"€43,700","['machine learning', 'r', 'python']",14,43700
data scientist,lead,Unknown,company_704,"Elsbethen, Salzburg, Austria",7 days ago,"Fuschl am See, AT",Energy,Private,"13,070",Private,"€29,498","['sql', 'git', 'r', 'python']",7,29498
data scientist,Not Specified,on-site,company_705,"San Francisco, CA . On-site",13 days ago,"San Francisco, CA, US",Technology,Private,90,Private,"€131,528 - €175,367",[],13,153447.5
data scientist,lead,hybrid,company_706,"Los Angeles, CA . Hybrid",a month ago,"Los Angeles, CA, US",Technology,Private,150,Private,"€104,128 - €192,721",[],,148424.5
data scientist,Not Specified,hybrid,company_708,Hybrid,5 months ago,"San Francisco, CA, US",Technology,Private,45,Private,"€118,739 - €155,272",[],5,137005.5
data scientist,senior,hybrid,company_709,"Chicago, Illinois, United States . Hybrid",7 days ago,"Buffalo Grove, IL, US",Manufacturing,Private,420,Private,"€156,187",[],7,156187
data scientist,senior,remote,company_714,Fully Remote,20 days ago,"Ann Arbor, MI, US",Technology,Private,210,Private,"€200,936",[],20,200936
data scientist,lead,remote,company_718,"Detroit, MI",a day ago,"Columbus, OH, US",Finance,Public,"26,010",Public,"€90,424","['aws', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'database', 'deep learning', 'tensorflow']",,90424
data scientist,junior,on-site,company_723,"Miami, FL",14 days ago,"Chicago, IL, US",Finance,Private,"3,790",Private,"€182,667","['pandas', 'spark', 'r', 'python', 'scikit-learn', 'sql', 'gcp', 'machine learning', 'tensorflow', 'tableau']",14,182667
data scientist,lead,Unknown,company_727,"New York County, NY",14 days ago,"Chicago, IL, US",Retail,Private,"14,460",Private,"€100,473",[],14,100473
data scientist,lead,hybrid,company_728,"Los Angeles, CA . Hybrid",a month ago,"Los Angeles, CA, US",Technology,Private,150,Private,"€237,468",[],,237468
data scientist,senior,on-site,company_737,United States,a month ago,"San Francisco, CA, US",Technology,Public,"1,780",Public,"€114,170","['pytorch', 'aws', 'r', 'python', 'sql', 'machine learning', 'database', 'deep learning', 'tensorflow']",,114170
data scientist,senior,Unknown,company_738,"Boston, MA",14 days ago,"San Francisco, CA, US",Finance,Private,700,Private,"€189,518 - €205,501","['amazon', 'spark', 'git', 'r', 'python', 'linux', 'java', 'sql', 'machine learning', 'database', 'azure']",14,197509.5
data scientist,senior,hybrid,company_742,"New York, NY . Hybrid",15 days ago,"New York, NY, US",Retail,Public,"1,800",Public,"€68,501 - €73,068","['amazon', 'r', 'python', 'sql', 'machine learning']",15,70784.5
data scientist,senior,on-site,company_744,"Lake Oswego, OR . Portland, OR . Hillsboro, OR",2 months ago,"Roseburg, OR, US",Finance,Public,"3,780",Public,"€81,237 - €150,867","['aws', 'r', 'python', 'sql', 'machine learning', 'azure']",2,116052
data scientist,midlevel,on-site,company_745,San Francisco Bay Area . On-site,5 days ago,"San Francisco, CA, US",Technology,Private,300,Private,"€78,551 - €139,744","['pandas', 'numpy', 'pytorch', 'aws', 'scikit-learn', 'python', 'tensorflow']",5,109147.5
